"","County","TotPrecincts","PrecinctsReporting","Bush","Kerry","Nader","votes","p"
"1127","Allen",13,13,5202,1923,28,7153,0.00246232533374504
"1128","Anderson",14,14,6363,3141,62,9566,0.00329296856460297
"1129","Ballard",13,13,2389,1759,15,4163,0.00143305750935001
"1130","Barren",24,24,10822,5216,63,16101,0.00554255559885767
"1131","Bath",12,12,2269,2608,29,4906,0.00168882540016121
"1132","Bell",34,34,6722,4210,48,10980,0.00377971930162457
"1133","Boone",54,54,32329,12391,189,44909,0.0154593273330289
"1134","Bourbon",18,18,4953,3198,46,8197,0.00282170848045688
"1135","Boyd",47,47,11501,10132,99,21732,0.00748095262867988
"1136","Boyle",25,25,7764,4646,52,12462,0.00428987813632472
"1137","Bracken",8,8,2363,1213,19,3595,0.00123753104638801
"1138","Breathitt",21,21,2542,3328,36,5906,0.00203306213072812
"1139","Breckinridge",15,15,5580,2884,38,8502,0.00292670068327979
"1140","Bullitt",42,42,19433,9043,106,28582,0.00983897423306315
"1141","Butler",12,12,4109,1436,20,5565,0.0019156774056048
"1142","Caldwell",13,13,4066,2245,23,6334,0.00218039545141075
"1143","Calloway",28,28,9289,5726,96,15111,0.00520176123559644
"1144","Campbell",65,65,25539,14252,212,40003,0.0137705019328677
"1145","Carlisle",7,7,1734,1102,7,2843,0.000978665025001699
"1146","Carroll",11,11,2175,1688,25,3888,0.00133839240844411
"1147","Carter",23,23,5422,5577,72,11071,0.00381104484410616
"1148","Casey",15,15,5109,1174,22,6305,0.00217041258622431
"1149","Christian",46,46,13938,6980,74,20992,0.00722621744806038
"1150","Clark",25,25,9540,5661,69,15270,0.00525649487575657
"1151","Clay",20,20,5726,1901,31,7658,0.00263616488268133
"1152","Clinton",13,13,3369,952,19,4340,0.00149398741066035
"1153","Crittenden",12,12,2726,1438,21,4185,0.00144063071742248
"1154","Cumberland",9,9,2356,848,18,3222,0.00110913074588655
"1155","Daviess",85,85,25372,15788,211,41371,0.0142414177802832
"1156","Edmonson",10,10,3595,1856,17,5468,0.00188228644273981
"1157","Elliott",7,7,871,2064,15,2950,0.00101549835517236
"1158","Estill",15,15,3633,1907,24,5564,0.00191533316887424
"1159","Fayette",251,251,66399,57989,750,125138,0.0430770959896808
"1160","Fleming",18,18,3749,2406,29,6184,0.00212875994182571
"1161","Floyd",42,42,6612,11132,88,17832,0.00613842937946897
"1162","Franklin",44,44,12281,11620,160,24061,0.0082826799741702
"1163","Fulton",13,13,1527,1340,15,2882,0.000992090257493808
"1164","Gallatin",8,8,1869,1188,7,3064,0.00105474134245698
"1165","Garrard",13,13,4784,1841,18,6643,0.00228676460115592
"1166","Grant",21,21,5951,2818,44,8813,0.0030337583064861
"1167","Graves",30,30,9903,6206,82,16191,0.00557353690460869
"1168","Grayson",23,23,7170,2905,39,10114,0.00348161029295363
"1169","Green",10,10,3866,1312,14,5192,0.00178727710510335
"1170","Greenup",32,32,8696,7630,62,16388,0.00564135154053037
"1171","Hancock",10,10,2286,1709,19,4014,0.00138176623649554
"1172","Hardin",55,55,24627,11507,207,36341,0.0125099070255317
"1173","Harlan",35,35,6659,4400,60,11119,0.00382756820717337
"1174","Harrison",17,17,4855,2807,48,7710,0.0026540651926708
"1175","Hart",19,19,4269,2470,31,6770,0.00233048266593792
"1176","Henderson",38,38,10467,8101,87,18655,0.00642173620872553
"1177","Henry",19,19,4094,2366,24,6484,0.00223203096099578
"1178","Hickman",6,6,1395,926,15,2336,0.00080413700260428
"1179","Hopkins",40,40,12314,6420,75,18809,0.00647474866523283
"1180","Jackson",14,14,4369,769,21,5159,0.00177591729299464
"1181","Jefferson",506,506,164547,170114,1784,336445,0.115816726815581
"1182","Jessamine",33,33,12972,5476,77,18525,0.00637698543375183
"1183","Johnson",31,31,5940,3288,45,9273,0.00319210720254687
"1184","Kenton",107,107,43664,22834,391,66889,0.0230256506708894
"1185","Knott",30,30,2648,4685,23,7356,0.00253220539005012
"1186","Knox",30,30,8108,3822,68,11998,0.00413015229334167
"1187","LaRue",12,12,4111,1823,27,5961,0.0020519951509093
"1188","Laurel",43,43,16819,5297,85,22201,0.00764239965531576
"1189","Lawrence",18,18,3755,2705,41,6501,0.00223788298541542
"1190","Lee",10,10,2018,878,14,2910,0.00100172888594968
"1191","Leslie",17,17,3661,1266,23,4950,0.00170397181630616
"1192","Letcher",32,32,4801,4192,41,9034,0.00310983462394138
"1193","Lewis",14,14,3778,1667,26,5471,0.00188331915293151
"1194","Lincoln",17,17,5996,2796,35,8827,0.00303857762071403
"1195","Livingston",10,10,2675,2007,14,4696,0.00161653568674217
"1196","Logan",20,20,6815,3768,32,10615,0.00365407289496765
"1197","Lyon",6,6,2132,1769,19,3920,0.00134940798382225
"1198","Madison",56,56,18922,11525,178,30625,0.0105422498736113
"1199","Magoffin",14,14,2836,2843,19,5698,0.0019614608907702
"1200","Marion",17,17,3905,3399,35,7339,0.00252635336563048
"1201","Marshall",25,25,9049,6383,54,15486,0.00533085000955902
"1202","Martin",14,14,2996,1504,24,4524,0.00155732696908466
"1203","Mason",20,20,4381,2644,36,7061,0.00243065555453289
"1204","McCracken",54,54,18218,11361,119,29698,0.0102231424243758
"1205","McCreary",18,18,4121,1530,28,5679,0.00195492039288943
"1206","McLean",8,8,2584,1823,22,4429,0.0015246244796808
"1207","Meade",18,18,7152,3724,49,10925,0.00376078628144339
"1208","Menifee",6,6,1215,1284,12,2511,0.000864378430453488
"1209","Mercer",17,17,6745,3224,47,10016,0.00344787509335808
"1210","Metcalfe",12,12,2645,1472,30,4147,0.00142754972166094
"1211","Monroe",12,12,4657,1158,16,5831,0.0020072443759356
"1212","Montgomery",17,17,5647,4506,62,10215,0.00351637820274089
"1213","Morgan",12,12,2682,2532,34,5248,0.00180655436201509
"1214","Muhlenberg",27,27,6749,6636,62,13447,0.00462895131593311
"1215","Nelson",27,27,10161,6524,111,16796,0.00578180012660166
"1216","Nicholas",5,5,1700,1332,15,3047,0.00104888931803735
"1217","Ohio",25,25,6311,3627,69,10007,0.00344477696278297
"1218","Oldham",34,34,18801,8080,151,27032,0.00930540730068446
"1219","Owen",13,13,3084,1615,28,4727,0.00162720702538974
"1220","Owsley",8,8,1558,430,8,1996,0.000687096514211534
"1221","Pendleton",12,12,4045,1940,24,6009,0.00206851851397651
"1222","Perry",37,37,6187,5400,50,11637,0.00400588283360702
"1223","Pike",57,57,12611,14002,106,26719,0.00919766120401702
"1224","Powell",11,11,2687,2249,15,4951,0.00170431605303673
"1225","Pulaski",57,57,19535,5829,107,25471,0.00876805376426953
"1226","Robertson",5,5,669,412,5,1086,0.000373841089395654
"1227","Rockcastle",14,14,4804,1320,29,6153,0.00211808860317814
"1228","Rowan",18,18,4063,4556,56,8675,0.00298625363766786
"1229","Russell",16,16,6007,1772,25,7804,0.00268642344534409
"1230","Scott",35,35,10595,6323,86,17004,0.00585340136655958
"1231","Shelby",31,31,10909,5277,83,16269,0.00560038736959291
"1232","Simpson",13,13,4273,2730,26,7029,0.00241963997915474
"1233","Spencer",9,9,4816,1970,26,6812,0.00234494060862173
"1234","Taylor",20,20,7247,2979,45,10271,0.00353565545965264
"1235","Todd",13,13,3242,1491,14,4747,0.00163409176000108
"1236","Trigg",14,14,4023,2046,28,6097,0.00209881134626639
"1237","Trimble",12,12,2332,1428,19,3779,0.00130087060481232
"1238","Union",16,16,3534,2398,31,5963,0.00205268362437043
"1239","Warren",60,60,25100,14326,177,39603,0.013632807240641
"1240","Washington",14,14,3479,1724,24,5227,0.00179932539067319
"1241","Wayne",19,19,5027,2616,31,7674,0.0026416726703704
"1242","Webster",14,14,3207,2308,29,5544,0.0019084484342629
"1243","Whitley",36,36,9559,3985,55,13599,0.00468127529897928
"1244","Wolfe",8,8,1385,1744,18,3147,0.00108331299109404
"1245","Woodford",16,16,6937,4480,60,11477,0.00395080495671632
"1246","Acadia",63,63,16083,8937,102,25122,0.00864791514530168
"1247","Allen",34,34,5140,3791,43,8974,0.00308918042010737
"1248","Ascension",60,60,24652,13952,168,38772,0.0133467465175399
"1249","Assumption",24,24,4966,5585,48,10599,0.00364856510727858
"1250","Avoyelles",50,50,8302,6976,48,15326,0.00527577213266832
"1251","Beauregard",48,48,9468,3666,36,13170,0.00453359774156608
"1252","Bienville",26,26,3539,3285,20,6844,0.00235595618399987
"1253","Bossier",68,68,29921,12116,108,42145,0.014507857009742
"1254","Caddo",154,154,54162,51502,218,105882,0.0364484735058846
"1255","Calcasieu",118,118,46058,32844,367,79269,0.0272873013953076
"1256","Caldwell",29,29,3308,1384,10,4702,0.00161860110712557
"1257","Cameron",13,13,3190,1367,23,4580,0.00157660422599641
"1258","Catahoula",31,31,3215,1673,12,4900,0.00168675997977781
"1259","Claiborne",31,31,3704,2854,10,6568,0.0022609468463634
"1260","Concordia",28,28,5426,3446,19,8891,0.00306060877147031
"1261","DeSoto",54,54,6211,5026,17,11254,0.0038740401657999
"1262","East Baton Rouge",300,300,99890,82171,630,182691,0.0628889525439977
"1263","East Carroll",24,24,1357,1980,8,3345,0.00115147186374628
"1264","East Feliciana",24,24,5020,4091,26,9137,0.00314529100718977
"1265","Evangeline",73,73,7949,5757,50,13756,0.00473532046567829
"1266","Franklin",32,32,6140,2828,20,8988,0.0030939997343353
"1267","Grant",23,23,5908,1976,34,7918,0.00272566643262872
"1268","Iberia",59,59,19416,12423,114,31953,0.0109993962518042
"1269","Iberville",45,45,6560,8063,27,14650,0.00504306810280509
"1270","Jackson",36,36,5037,2523,13,7573,0.00260690476058314
"1271","Jeff Davis",45,45,8054,4744,51,12849,0.00442309775105411
"1272","Jefferson",267,267,117692,71936,945,190573,0.065602226454326
"1273","Lafayette",121,121,57730,31205,358,89293,0.0307379303825103
"1274","Lafourche",72,72,22734,14417,191,37342,0.0128544879928292
"1275","LaSalle",29,29,5012,1154,14,6180,0.00212738299490345
"1276","Lincoln",42,42,10791,7242,41,18074,0.00622173466826616
"1277","Livingston",56,56,33948,9888,116,43952,0.0151298927818764
"1278","Madison",38,38,2291,2334,8,4633,0.00159484877271645
"1279","Morehouse",71,71,7470,5331,32,12833,0.00441758996336504
"1280","Natchitoches",51,51,9260,7396,72,16728,0.00575839202892311
"1281","Orleans",442,442,42760,151686,823,195269,0.0672187621410681
"1282","Ouachita",79,79,41747,22011,148,63906,0.0219987925036084
"1283","Plaquemines",20,20,7865,4181,46,12092,0.00416251054601496
"1284","Pointe Coupee",31,31,5429,5712,26,11167,0.00384409157024058
"1285","Rapides",105,105,34432,18904,177,53513,0.0184211401628266
"1286","Red River",20,20,2507,2140,14,4661,0.00160448740117232
"1287","Richland",40,40,5471,3082,18,8571,0.00295045301768891
"1288","Sabine",44,44,6704,2741,38,9483,0.00326439691596592
"1289","St Bernard",36,36,19596,9956,167,29719,0.0102303713957177
"1290","St Charles",45,45,14747,8895,69,23711,0.00816219711847178
"1291","St Helena",15,15,2235,3173,20,5428,0.00186851697351714
"1292","St James",28,28,4545,6406,29,10980,0.00377971930162457
"1293","St John the Baptist",35,35,8937,10293,74,19304,0.00664514584686345
"1294","St Landry",95,95,18314,18162,96,36572,0.0125894257102927
"1295","St Martin",60,60,12091,10319,77,22487,0.0077408513602579
"1296","St Mary",56,56,12876,9544,68,22488,0.00774119559698846
"1297","St Tammany",149,149,75081,24643,436,100160,0.0344787509335808
"1298","Tangipahoa",89,89,26170,15335,194,41699,0.0143543274279092
"1299","Tensas",22,22,1453,1468,1,2922,0.00100585972671648
"1300","Terrebonne",103,103,26357,13678,159,40194,0.013836251148406
"1301","Union",46,46,7457,3088,14,10559,0.0036347956380559
"1302","Vermilion",62,62,15069,9085,99,24253,0.00834877342643904
"1303","Vernon",76,76,11030,4035,49,15114,0.00520279394578814
"1304","Washington",41,41,11006,6554,58,17618,0.00606476271912766
"1305","Webster",49,49,11066,6821,48,17935,0.00617388576271736
"1306","West Baton Rouge",21,21,5820,4931,36,10787,0.00371328161262516
"1307","West Carroll",17,17,3730,1231,7,4968,0.00171016807745636
"1308","West Feliciana",18,18,2832,2214,14,5060,0.00174183785666852
"1309","Winn",41,41,4365,2056,10,6431,0.00221378641427574
"1310","Abington",4,4,3442,4179,0,7621,0.00262342812365035
"1311","Acton",6,6,3478,7047,0,10525,0.00362309158921663
"1312","Acushnet",3,3,1696,3789,0,5485,0.00188813846715945
"1313","Adams",5,5,972,3042,0,4014,0.00138176623649554
"1314","Agawam",8,8,5971,7683,0,13654,0.00470020831916046
"1315","Alford",1,1,88,205,0,293,0.000100861362056102
"1316","Amesbury",6,6,3225,4588,0,7813,0.00268952157591919
"1317","Amherst",10,10,1463,9705,0,11168,0.00384443580697115
"1318","Andover",9,9,7883,9177,0,17060,0.00587267862347133
"1319","Aquinnah",1,1,22,270,0,292,0.000100517125325535
"1320","Arlington",21,21,6422,17821,0,24243,0.00834533105913337
"1321","Ashburnham",1,1,1424,1651,0,3075,0.00105852794649322
"1322","Ashby",1,1,889,829,0,1718,0.000591398703113935
"1323","Ashfield",1,1,236,836,0,1072,0.000369021775167718
"1324","Ashland",4,4,3036,4712,0,7748,0.00266714618843235
"1325","Athol",3,3,2092,2463,0,4555,0.00156799830773223
"1326","Attleboro",12,12,7702,9838,0,17540,0.00603791225414344
"1327","Auburn",5,5,3729,4979,0,8708,0.00299761344977657
"1328","Avon",1,1,1039,1351,0,2390,0.000822725786054893
"1329","Ayer",2,2,1315,1613,0,2928,0.00100792514709989
"1330","Barnstable",13,13,11913,13183,0,25096,0.00863896499030694
"1331","Barre",2,2,1173,1321,0,2494,0.00085852640603385
"1332","Becket",1,1,280,538,0,818,0.000281585645603725
"1333","Bedford",4,4,2593,4158,0,6751,0.00232394216805715
"1334","Belchertown",4,4,2458,4300,0,6758,0.00232635182517111
"1335","Bellingham",5,5,3388,4354,0,7742,0.00266508076804894
"1336","Belmont",8,8,4274,8923,0,13197,0.00454289213329139
"1337","Berkley",1,1,1357,1541,0,2898,0.000997598045182878
"1338","Berlin",1,1,696,843,0,1539,0.00052978032834246
"1339","Bernardston",1,1,447,762,0,1209,0.000416182207255383
"1340","Beverly",12,12,7785,11513,0,19298,0.00664308042648005
"1341","Billerica",11,11,8422,9399,0,17821,0.00613464277543274
"1342","Blackstone",3,3,1816,2206,0,4022,0.00138452013034007
"1343","Blandford",1,1,322,309,0,631,0.000217213376987714
"1344","Bolton",1,1,1177,1421,0,2598,0.000894327026012808
"1345","Boston",254,254,44103,158922,0,203025,0.069888662223345
"1346","Bourne",6,6,4034,4190,0,8224,0.00283100287218219
"1347","Boxborough",1,1,989,1528,0,2517,0.000866443850836889
"1348","Boxford",3,3,2664,2059,0,4723,0.00162583007846747
"1349","Boylston",1,1,1113,1302,0,2415,0.000831331704319065
"1350","Braintree",12,12,7792,10207,0,17999,0.00619591691347364
"1351","Brewster",3,3,2725,3822,0,6547,0.0022537178750215
"1352","Bridgewater",7,7,5499,5561,0,11060,0.00380725824006992
"1353","Brimfield",1,1,893,917,0,1810,0.00062306848232609
"1354","Brockton",28,28,10041,20019,0,30060,0.010347756120841
"1355","Brookfield",1,1,782,816,0,1598,0.000550090295445907
"1356","Brookline",16,16,5202,21065,0,26267,0.00904206620180078
"1357","Buckland",1,1,312,684,0,996,0.000342859783644633
"1358","Burlington",6,6,5238,6745,0,11983,0.00412498874238317
"1359","Cambridge",33,33,5275,35241,0,40516,0.0139470953756485
"1360","Canton",6,6,4864,6461,0,11325,0.00389848097367015
"1361","Carlisle",1,1,1124,1946,0,3070,0.00105680676284039
"1362","Carver",3,3,2728,3050,0,5778,0.00198899982921555
"1363","Charlemont",1,1,223,431,0,654,0.000225130821790753
"1364","Charlton",3,3,2983,1639,0,4622,0.00159106216868021
"1365","Chatham",2,2,2340,2421,0,4761,0.00163891107422901
"1366","Chelmsford",9,9,8478,9670,0,18148,0.00624720818632811
"1367","Chelsea",16,16,1823,5116,0,6939,0.00238865867340372
"1368","Cheshire",1,1,542,1251,0,1793,0.000617216457906453
"1369","Chester",1,1,330,322,0,652,0.000224442348329619
"1370","Chesterfield",1,1,293,362,0,655,0.00022547505852132
"1371","Chicopee",26,26,7956,14640,0,22596,0.00777837316388969
"1372","Chilmark",1,1,156,577,0,733,0.000252325523505538
"1373","Clarksburg",1,1,267,592,0,859,0.000295699351556968
"1374","Clinton",4,4,2397,3514,0,5911,0.00203478331438095
"1375","Cohasset",2,2,2164,2284,0,4448,0.00153116497756157
"1376","Colrain",1,1,314,545,0,859,0.000295699351556968
"1377","Concord",5,5,3179,6774,0,9953,0.00342618817933236
"1378","Conway",1,1,309,844,0,1153,0.000396904950343636
"1379","Cummington",1,1,173,370,0,543,0.000186920544697827
"1380","Dalton",2,2,1039,2446,0,3485,0.00119966500602565
"1381","Danvers",8,8,6086,7046,0,13132,0.00452051674580454
"1382","Dartmouth",10,10,4848,10204,0,15052,0.00518145126849299
"1383","Dedham",7,7,4859,7392,0,12251,0.0042172441861751
"1384","Deerfield",1,1,861,2114,0,2975,0.00102410427343653
"1385","Dennis",5,5,4320,5236,0,9556,0.0032895261972973
"1386","Dighton",1,1,1475,1743,0,3218,0.00110775379896429
"1387","Douglas",2,2,2048,1866,0,3914,0.00134734256343885
"1388","Dover",1,1,1685,1602,0,3287,0.0011315061333734
"1389","Dracut",10,10,6671,6972,0,13643,0.00469642171512423
"1390","Dudley",4,4,2173,2617,0,4790,0.00164889393941545
"1391","Dunstable",1,1,883,842,0,1725,0.000593808360227904
"1392","Duxbury",6,6,4581,4454,0,9035,0.00311017886067195
"1393","East Bridgewater",4,4,3393,3116,0,6509,0.00224063687925996
"1394","East Brookfield",1,1,623,467,0,1090,0.000375218036317922
"1395","East Longmeadow",4,4,3993,4204,0,8197,0.00282170848045688
"1396","Eastham",1,1,1479,2227,0,3706,0.00127574132348093
"1397","Easthampton",5,5,2651,5496,0,8147,0.00280449664392854
"1398","Easton",6,6,5418,5856,0,11274,0.00388092490041124
"1399","Edgartown",1,1,793,1532,0,2325,0.000800350398568044
"1400","Egremont",1,1,199,591,0,790,0.000271947017147852
"1401","Erving",1,1,263,499,0,762,0.000262308388691978
"1402","Essex",1,1,954,1123,0,2077,0.000714979689387453
"1403","Everett",18,18,4025,8719,0,12744,0.00438695289434458
"1404","Fairhaven",6,6,2413,5663,0,8076,0.00278005583605829
"1405","Fall River",30,30,7225,23396,0,30621,0.0105408729266891
"1406","Falmouth",9,9,7775,11212,0,18987,0.00653602280327374
"1407","Fitchburg",12,12,5007,8416,0,13423,0.00462068963439951
"1408","Florida",1,1,131,267,0,398,0.000137006218765626
"1409","Foxborough",5,5,4010,4618,0,8628,0.00297007451133122
"1410","Framingham",18,18,8433,17195,0,25628,0.00882209893096853
"1411","Franklin",8,8,6851,8135,0,14986,0.00515873164427557
"1412","Freetown",3,3,1909,2428,0,4337,0.00149295470046865
"1413","Gardner",11,11,2950,5014,0,7964,0.0027415013222348
"1414","Georgetown",2,2,2088,2095,0,4183,0.00143994224396135
"1415","Gill",1,1,262,618,0,880,0.000302928322898873
"1416","Gloucester",10,10,5054,9280,0,14334,0.00493428929594595
"1417","Goshen",1,1,202,361,0,563,0.000193805279309165
"1418","Gosnold",1,1,34,41,0,75,2.58177547925176e-05
"1419","Grafton",4,4,3651,4293,0,7944,0.00273461658762346
"1420","Granby",1,1,1405,1894,0,3299,0.00113563697414021
"1421","Granville",1,1,449,374,0,823,0.000283306829256559
"1422","Great Barrington",4,4,727,2927,0,3654,0.00125784101349146
"1423","Greenfield",9,9,2366,5955,0,8321,0.00286439383504718
"1424","Groton",3,3,2540,3162,0,5702,0.00196283783769247
"1425","Groveland",1,1,1754,1780,0,3534,0.00121653260582343
"1426","Hadley",1,1,953,2049,0,3002,0.00103339866516184
"1427","Halifax",2,2,1893,1894,0,3787,0.00130362449865685
"1428","Hamilton",3,3,2374,2117,0,4491,0.00154596715697595
"1429","Hampden",1,1,1420,1376,0,2796,0.000962485898665054
"1430","Hancock",1,1,143,251,0,394,0.000135629271843359
"1431","Hanover",4,4,3967,3563,0,7530,0.00259210258116876
"1432","Hanson",3,3,2534,2570,0,5104,0.00175698427281346
"1433","Hardwick",1,1,548,778,0,1326,0.00045645790473171
"1434","Harvard",1,1,1199,2082,0,3281,0.00112944071299
"1435","Harwich",4,4,3687,4329,0,8016,0.00275940163222428
"1436","Hatfield",1,1,689,1369,0,2058,0.000708439191506682
"1437","Haverhill",21,21,10253,13879,0,24132,0.00830712078204045
"1438","Hawley",1,1,68,121,0,189,6.50607420771442e-05
"1439","Heath",1,1,156,267,0,423,0.000145612137029799
"1440","Hingham",6,6,5605,6213,0,11818,0.00406818968183963
"1441","Hinsdale",1,1,310,741,0,1051,0.000361792803825813
"1442","Holbrook",4,4,2283,3043,0,5326,0.00183340482699931
"1443","Holden",5,5,4683,4986,0,9669,0.00332842494785136
"1444","Holland",1,1,578,570,0,1148,0.000395183766690802
"1445","Holliston",4,4,3070,4565,0,7635,0.00262824743787829
"1446","Holyoke",14,14,4505,10006,0,14511,0.0049952191972563
"1447","Hopedale",1,1,1372,1822,0,3194,0.00109949211743068
"1448","Hopkinton",4,4,3594,3896,0,7490,0.00257833311194609
"1449","Hubbardston",1,1,1106,1065,0,2171,0.000747337942060741
"1450","Hudson",7,7,3481,5265,0,8746,0.00301069444553811
"1451","Hull",3,3,2030,3742,0,5772,0.00198693440883215
"1452","Huntington",1,1,492,530,0,1022,0.000351809938639372
"1453","Ipswich",4,4,3356,4281,0,7637,0.00262893591133942
"1454","Kingston",4,4,3057,3226,0,6283,0.00216283937815184
"1455","Lakeville",3,3,2912,2389,0,5301,0.00182479890873514
"1456","Lancaster",2,2,1651,1653,0,3304,0.00113735815779304
"1457","Lanesborough",1,1,482,1128,0,1610,0.00055422113621271
"1458","Lawrence",24,24,4783,11482,0,16265,0.00559901042267064
"1459","Lee",6,6,855,2155,0,3010,0.00103615255900637
"1460","Leicester",4,4,2315,2772,0,5087,0.00175113224839382
"1461","Lenox",1,1,801,2247,0,3048,0.00104923355476791
"1462","Leominster",15,15,7288,10001,0,17289,0.00595150883477115
"1463","Leverett",1,1,193,947,0,1140,0.000392429872846267
"1464","Lexington",9,9,4824,12298,0,17122,0.00589402130076647
"1465","Leyden",1,1,138,310,0,448,0.000154218055293971
"1466","Lincoln",3,3,919,2428,0,3347,0.00115216033720742
"1467","Littleton",3,3,2010,2769,0,4779,0.00164510733537922
"1468","Longmeadow",5,5,3623,5133,0,8756,0.00301413681284378
"1469","Lowell",33,33,10528,18144,0,28672,0.00986995553881418
"1470","Ludlow",6,6,3578,5684,0,9262,0.00318832059851063
"1471","Lunenburg",4,4,2475,2831,0,5306,0.00182652009238797
"1472","Lynn",28,28,8360,19360,0,27720,0.00954224217131449
"1473","Lynnfield",4,4,3625,3163,0,6788,0.00233667892708812
"1474","Malden",16,16,5725,13984,0,19709,0.00678456172274304
"1475","Manchester",1,1,1426,1821,0,3247,0.00111773666415073
"1476","Mansfield",6,6,4933,5775,0,10708,0.00368608691091037
"1477","Marblehead",7,7,4749,7128,0,11877,0.00408849964894308
"1478","Marion",1,1,1267,1738,0,3005,0.00103443137535354
"1479","Marlborough",14,14,6404,8817,0,15221,0.0052396272759588
"1480","Marshfield",7,7,6366,6926,0,13292,0.00457559462269524
"1481","Mashpee",5,5,3561,4076,0,7637,0.00262893591133942
"1482","Mattapoisett",2,2,1654,2200,0,3854,0.00132668835960484
"1483","Maynard",4,4,1983,3445,0,5428,0.00186851697351714
"1484","Medfield",4,4,3214,3614,0,6828,0.0023504483963108
"1485","Medford",16,16,7837,17494,0,25331,0.00871986062199016
"1486","Medway",4,4,3087,3613,0,6700,0.00230638609479823
"1487","Melrose",14,14,5589,9300,0,14889,0.00512534068141058
"1488","Mendon",1,1,1576,1422,0,2998,0.00103202171823957
"1489","Merrimac",1,1,1567,1792,0,3359,0.00115629117797422
"1490","Methuen",12,12,9034,9997,0,19031,0.00655116921941869
"1491","Middleborough",6,6,5123,4783,0,9906,0.00341000905299572
"1492","Middlefield",1,1,115,178,0,293,0.000100861362056102
"1493","Middleton",2,2,1936,1832,0,3768,0.00129708400077608
"1494","Milford",7,7,4774,7008,0,11782,0.00405579715953922
"1495","Millbury",4,4,2713,3410,0,6123,0.00210776150126113
"1496","Millis",3,3,1924,2407,0,4331,0.00149088928008525
"1497","Millville",1,1,688,718,0,1406,0.000483996843177062
"1498","Milton",11,11,5452,9179,0,14631,0.00503652760492432
"1499","Monroe",1,1,21,40,0,61,2.09984405645809e-05
"1500","Monson",3,3,1773,2237,0,4010,0.00138038928957327
"1501","Montague",6,6,1136,2905,0,4041,0.00139106062822085
"1502","Monterey",1,1,120,414,0,534,0.000183822414122725
"1503","Montgomery",1,1,249,213,0,462,0.000159037369521908
"1504","Mount Washington",1,1,25,76,0,101,3.4767909787257e-05
"1505","Nahant",1,1,819,1394,0,2213,0.000761795884744551
"1506","Nantucket",1,1,2040,3601,0,5641,0.00194183939712789
"1507","Natick",10,10,6000,10846,0,16846,0.00579901196313001
"1508","Needham",10,10,5832,10722,0,16554,0.00569849483780447
"1509","New Ashford",1,1,53,92,0,145,4.99143259322006e-05
"1510","New Bedford",42,42,7325,25546,0,32871,0.0113154055704646
"1511","New Braintree",1,1,243,263,0,506,0.000174183785666852
"1512","New Marlborough",1,1,256,533,0,789,0.000271602780417285
"1513","New Salem",1,1,221,359,0,580,0.000199657303728802
"1514","Newbury",2,2,1862,2155,0,4017,0.00138279894668724
"1515","Newburyport",7,7,3680,6488,0,10168,0.00350019907640425
"1516","Newton",31,31,9943,31846,0,41789,0.0143853087336602
"1517","Norfolk",4,4,2626,2281,0,4907,0.00168916963689178
"1518","North Adams",5,5,1440,4444,0,5884,0.00202548892265564
"1519","North Andover",8,8,6854,6715,0,13569,0.00467094819706227
"1520","North Attleborough",9,9,6473,6779,0,13252,0.00456182515347257
"1521","North Brookfield",1,1,1186,1009,0,2195,0.000755599623594347
"1522","North Reading",4,4,3881,3904,0,7785,0.00267988294746332
"1523","Northampton",14,14,2790,12176,0,14966,0.00515184690966424
"1524","Northborough",4,4,3350,4226,0,7576,0.00260793747077484
"1525","Northbridge",4,4,3455,3330,0,6785,0.00233564621689642
"1526","Northfield",1,1,581,1126,0,1707,0.000587612099077699
"1527","Norton",5,5,3763,4228,0,7991,0.0027507957139601
"1528","Norwell",3,3,3054,2847,0,5901,0.00203134094707528
"1529","Norwood",9,9,5544,8114,0,13658,0.00470158526608273
"1530","Oak Bluffs",1,1,697,1761,0,2458,0.000846133883733442
"1531","Oakham",1,1,500,493,0,993,0.000341827073452932
"1532","Orange",2,2,1533,1581,0,3114,0.00107195317898533
"1533","Orleans",2,2,2055,2406,0,4461,0.00153564005505894
"1534","Otis",1,1,320,422,0,742,0.00025542365408064
"1535","Oxford",4,4,2814,3297,0,6111,0.00210363066049433
"1536","Palmer",4,4,2428,3538,0,5966,0.00205371633456213
"1537","Paxton",1,1,1166,1271,0,2437,0.000838904912391537
"1538","Peabody",18,18,9528,15243,0,24771,0.0085270880528727
"1539","Pelham",1,1,151,689,0,840,0.000289158853676197
"1540","Pembroke",5,5,4234,4637,0,8871,0.00305372403685898
"1541","Pepperell",3,3,2930,2884,0,5814,0.00200139235151596
"1542","Peru",1,1,148,252,0,400,0.00013769469222676
"1543","Petersham",1,1,336,439,0,775,0.000266783466189348
"1544","Phillipston",1,1,427,396,0,823,0.000283306829256559
"1545","Pittsfield",14,14,4954,15144,0,20098,0.00691846981093357
"1546","Plainfield",1,1,105,256,0,361,0.000124269459734651
"1547","Plainville",2,2,1887,2008,0,3895,0.00134080206555808
"1548","Plymouth",14,14,11864,14159,0,26023,0.00895807243954246
"1549","Plympton",1,1,822,801,0,1623,0.00055869621371008
"1550","Princeton",1,1,1011,1106,0,2117,0.000728749158610129
